lat,lon,kind
45.4824458,9.159427,supermarket
45.5127113,9.1263125,supermarket
45.4904228,9.2952206,pharmacy
45.4897273,9.300356,supermarket
45.5799797,9.2971707,pharmacy
45.5707985,9.2841577,pharmacy
45.5743064,9.2827778,pharmacy
45.5448758,9.2539673,pharmacy
45.5778881,9.282494,pharmacy
45.4690765,9.1878001,pharmacy
45.4964848,9.2668713,school
45.3775054,9.2164485,supermarket
45.3700666,9.2128866,supermarket
45.3748864,9.2126704,pharmacy
45.3759571,9.2107238,pharmacy
45.3773922,9.2109088,supermarket
45.4518951,9.1870304,supermarket
45.4510476,9.1924228,pharmacy
45.5708907,9.2447598,pharmacy
45.4472244,9.1793895,pharmacy
45.4490027,9.1800037,supermarket
45.4517265,9.1802119,pharmacy
45.4707724,9.2275206,pharmacy
45.481073,9.208849,pharmacy
45.6119286,9.2534599,pharmacy
45.5021888,9.1147192,supermarket
45.47084,9.2349048,pharmacy
45.4872073,9.1375247,pharmacy
45.5692328,9.1856128,pharmacy
45.4886394,9.1183148,pharmacy
45.4926777,9.1116641,pharmacy
45.4958446,9.1090776,pharmacy
45.4910092,9.1219926,pharmacy
45.5488236,9.1583177,pharmacy
45.5486659,9.1582135,doctors
45.5753227,9.1229838,school
45.496469,9.1146906,pharmacy
45.4964509,9.2984569,doctors
45.4678533,9.140648,pharmacy
45.4825222,9.1437904,pharmacy
45.4862253,9.1423207,pharmacy
45.5814326,9.1546755,pharmacy
45.4726988,9.1201811,pharmacy
45.5458735,9.1614453,supermarket
45.4626069,9.1882702,pharmacy
45.56438,9.16511,pharmacy
45.523236,9.3315125,marketplace
45.5481526,9.1552052,pharmacy
45.5818911,9.1576782,pharmacy
45.5176755,9.3257496,supermarket
45.5032724,9.3241372,supermarket
45.4957177,9.134173,pharmacy
45.4742992,9.1498979,supermarket
45.4743364,9.1601289,pharmacy
45.4699528,9.165619,pharmacy
45.4718956,9.1676381,supermarket
45.4948674,9.1404798,pharmacy
45.4969742,9.140644,school
45.4976081,9.1367504,supermarket
45.5021154,9.1254932,pharmacy
45.6150019,9.2013653,supermarket
45.4764704,9.1717897,pharmacy
45.4766692,9.1707133,pharmacy
45.4797394,9.1731855,school
45.5024782,9.1375955,supermarket
45.4720002,9.1434968,pharmacy
45.4758803,9.1437244,pharmacy
45.4648556,9.1893457,pharmacy
45.4440857,9.182846,pharmacy
45.517521,9.135779,pharmacy
45.5152153,9.142191,pharmacy
45.4707467,9.1842492,supermarket
45.4832473,9.2142925,pharmacy
45.4830092,9.2140742,supermarket
45.4563422,9.0913083,pharmacy
45.4509847,9.0966624,supermarket
45.4590159,9.1055819,pharmacy
45.4609957,9.0919311,pharmacy
45.460219,9.0979494,pharmacy
45.4182558,9.2731079,school
45.4964681,9.0437116,pharmacy
45.4750039,9.1237103,pharmacy
45.510399,9.0867361,pharmacy
45.4979566,9.1040186,pharmacy
45.4944452,9.1250674,pharmacy
45.5548743,9.2973761,pharmacy
45.551207,9.3007931,pharmacy
45.5541029,9.3032222,pharmacy
45.5472387,9.2927908,pharmacy
45.5505065,9.2828322,pharmacy
45.6107234,9.1474578,pharmacy
45.6277767,9.2035301,school
45.62737,9.2052731,school
45.627721,9.2014853,pharmacy
45.5527218,9.2829273,marketplace
45.5765133,9.1623841,pharmacy
45.5728498,9.1471242,pharmacy
45.6172991,9.1999443,pharmacy
45.6233726,9.2127331,supermarket
45.4725058,9.0608007,pharmacy
45.4873556,9.0532696,pharmacy
45.4346036,9.3388437,doctors
45.5247675,9.0435072,pharmacy
45.5590635,9.3010991,doctors
45.6376907,9.2067834,supermarket
45.4940016,9.0395927,supermarket
45.4598281,9.3142981,pharmacy
45.5289423,9.0422883,pharmacy
45.5520032,9.3035653,doctors
45.5464873,9.3029096,pharmacy
45.5427952,9.2945221,pharmacy
45.5500596,9.307826,doctors
45.5493537,9.3019164,doctors
45.5392674,9.4472545,pharmacy
45.5408074,9.4473139,school
45.5418368,9.4466166,school
45.538801,9.4485478,school
45.5456004,9.4553235,supermarket
45.5396388,9.2234755,school
45.5389799,9.224221,school
45.5461696,9.1146561,supermarket
45.5286172,9.2741987,pharmacy
45.5258694,9.2739734,school
45.5306383,9.2783089,school
45.5348432,9.2754025,supermarket
45.4338448,9.1776689,pharmacy
45.5377681,9.2163638,school
45.5391524,9.2172252,school
45.5393027,9.216501,school
45.5411857,9.1014687,pharmacy
45.5969009,9.1529939,pharmacy
45.4555821,9.2182005,supermarket
45.457362,9.2140745,supermarket
45.4574286,9.2220273,pharmacy
45.4557669,9.1228346,supermarket
45.4603979,9.1817998,pharmacy
45.4301179,9.2644078,school
45.4266229,9.2644941,pharmacy
45.4488928,9.1795881,pharmacy
45.5607809,9.2135312,doctors
45.5632568,9.2159992,supermarket
45.4628724,9.1968133,pharmacy
45.4907634,9.2680018,pharmacy
45.4233667,9.2655789,supermarket
45.4236302,9.2652744,pharmacy
45.5976935,9.223488,pharmacy
45.5433498,9.1855967,doctors
45.5434059,9.1858853,doctors
45.5424672,9.1728365,pharmacy
45.5415171,9.1699018,doctors
45.5393976,9.1673888,pharmacy
45.5392493,9.167063,doctors
45.5389589,9.1609744,supermarket
45.4809342,9.2696663,pharmacy
45.5429019,9.1720993,doctors
45.5424785,9.1702831,doctors
45.4612125,9.1200305,pharmacy
45.5551324,9.2022423,pharmacy
45.5388251,9.1651897,doctors
45.5433138,9.1719268,supermarket
45.5438168,9.1712566,school
45.502875,9.2254076,pharmacy
45.4784737,9.2024582,supermarket
45.5044842,9.2224552,supermarket
45.5839391,9.0962675,doctors
45.3572667,9.2227518,pharmacy
45.5892468,9.2013422,pharmacy
45.389679,9.2985827,pharmacy
45.58893,9.1964546,pharmacy
45.6164723,9.2069367,pharmacy
45.539788,9.2869483,supermarket
45.6475101,9.1436893,pharmacy
45.4886386,9.1497214,pharmacy
45.5269163,9.1736883,supermarket
45.5996047,9.1690004,pharmacy
45.4798521,9.2102224,pharmacy
45.4822679,9.2126196,pharmacy
45.4780244,9.1800894,pharmacy
45.5150861,9.1611001,school
45.4475246,9.1557096,pharmacy
45.4950448,9.2196078,pharmacy
45.5973354,9.1240001,pharmacy
45.6177235,9.119554,pharmacy
45.6008084,9.1222811,supermarket
45.5151188,9.2124205,supermarket
45.480789,8.9936377,pharmacy
45.4777922,9.1784892,supermarket
45.4859495,9.0081621,pharmacy
45.4580078,9.0689185,supermarket
