lat,lon,kind
45.0772767,7.5870945,supermarket
45.065608,7.677361,school
45.0656268,7.6772895,school
45.0683819,7.6775505,clinic
45.0691315,7.6784357,supermarket
45.0692877,7.652349,supermarket
45.0739004,7.6528065,supermarket
45.1040238,7.5544953,supermarket
45.1039425,7.5479119,pharmacy
45.0403616,7.6182531,pharmacy
45.1017901,7.6669472,pharmacy
45.0120073,7.6652485,pharmacy
45.0021217,7.6474985,pharmacy
45.0675807,7.6897297,university
45.1018876,7.6627566,supermarket
45.0946421,7.6504956,pharmacy
45.1025726,7.6683333,school
45.0366602,7.657993,supermarket
45.0489677,7.6396089,pharmacy
45.0986963,7.6925729,school
45.0656773,7.6888859,university
45.0652865,7.6882857,university
45.0374714,7.6404246,pharmacy
45.0467386,7.6346519,pharmacy
45.0240504,7.6545391,pharmacy
45.0204266,7.6463685,school
45.0212684,7.646744,school
45.0249267,7.641132,pharmacy
45.032323,7.648686,pharmacy
45.034202,7.6503159,pharmacy
45.040648,7.670813,pharmacy
45.063994,7.676202,pharmacy
45.0908422,7.6894553,pharmacy
45.0912579,7.6980196,pharmacy
45.0399782,7.64636,pharmacy
45.0362458,7.6351613,pharmacy
45.0271827,7.5162857,pharmacy
45.0683859,7.5241333,supermarket
45.0291728,7.6874672,pharmacy
45.0294204,7.6878154,doctors
45.0087559,7.6028682,supermarket
45.0805864,7.4008483,supermarket
45.0550943,7.6870107,university
44.9520921,7.769142,doctors
45.1014422,7.6409714,pharmacy
45.0678995,7.5202014,supermarket
45.0715105,7.516004,pharmacy
45.070204,7.5212327,pharmacy
45.0631393,7.5184709,pharmacy
45.0403504,7.6185095,supermarket
45.13913,7.7336757,pharmacy
45.1509867,7.6996678,doctors
45.1507983,7.7084211,pharmacy
45.0956291,7.5565018,clinic
45.0954159,7.521881,supermarket
45.0998536,7.5226441,pharmacy
45.1033424,7.5455036,pharmacy
45.0953613,7.5233654,pharmacy
45.1003912,7.5268277,pharmacy
45.0799003,7.5149455,supermarket
45.0716679,7.6307669,pharmacy
45.0901481,7.6766104,supermarket
45.0291403,7.524223,marketplace
45.1012928,7.5345945,supermarket
45.0361441,7.6740203,hospital
45.0597155,7.6784268,supermarket
45.1396043,7.7735635,school
45.098466,7.5483787,pharmacy
45.0733308,7.7190509,supermarket
45.0427986,7.6432305,pharmacy
45.0510127,7.6496074,pharmacy
45.0511937,7.6493516,supermarket
45.0779204,7.6307368,supermarket
45.0592284,7.6804992,pharmacy
45.0775261,7.6895177,clinic
45.0184746,7.6482671,pharmacy
44.9990291,7.6807222,pharmacy
45.0203123,7.6626968,supermarket
45.078061,7.6843464,pharmacy
45.0826917,7.6879352,pharmacy
45.0748259,7.6821926,pharmacy
45.0689313,7.703882,hospital
45.0138153,7.8208488,marketplace
45.0722302,7.6544487,pharmacy
45.0681911,7.6522962,pharmacy
45.0705694,7.6470807,pharmacy
45.076274,7.667317,pharmacy
45.0719274,7.7052567,school
45.0725436,7.7065815,school
45.0725076,7.7056542,school
45.0706303,7.6946646,school
45.0709316,7.7002595,school
45.0706891,7.7004982,school
45.0759447,7.6589874,pharmacy
45.0678859,7.6638988,pharmacy
45.0701927,7.7001719,marketplace
45.0702166,7.6428585,pharmacy
45.0648189,7.6363222,pharmacy
45.0714463,7.6932774,university
44.9501145,7.6301366,school
44.9501542,7.630669,school
45.068419,7.6895223,university
45.0201681,7.6546431,pharmacy
45.1021692,7.5290574,school
45.0189807,7.631664,pharmacy
45.0755865,7.6840056,pharmacy
45.1235787,7.6326308,pharmacy
45.1136905,7.6462431,pharmacy
45.0237365,7.6461035,pharmacy
45.034012,7.654046,pharmacy
45.0205489,7.6415587,pharmacy
45.0792917,7.60426,hospital
45.0944273,7.6331566,pharmacy
45.075018,7.7227153,pharmacy
45.0309579,7.5271346,school
44.9943556,7.8060951,pharmacy
45.0744381,7.63903,supermarket
45.0674415,7.6363079,supermarket
45.1993144,7.781281,school
45.1999784,7.770501,school
45.0730626,7.6381708,supermarket
45.0595099,7.6540389,school
45.0594367,7.6546479,school
45.1382369,7.5373866,school
45.1225822,7.6310071,school
45.063855,7.7082699,supermarket
45.0192179,7.4771622,supermarket
45.0565304,7.6768269,pharmacy
45.0558839,7.6777089,clinic
45.1293815,7.5830638,supermarket
45.0545686,7.6760344,supermarket
45.0155181,7.6492885,clinic
45.0213037,7.6708228,college
45.0751653,7.6393187,pharmacy
45.081235,7.6431668,pharmacy
45.0801097,7.6445223,supermarket
45.0805538,7.6446235,supermarket
45.080545,7.6507743,supermarket
45.0800426,7.6513515,supermarket
