lat,lon,population,reachable_pois
45.011784,7.5078,234.0,321
45.015681,7.507698,109.0,215
45.023474,7.507496,118.0,265
45.027371,7.507395,308.0,252
45.031267,7.507293,308.0,214
45.035164,7.507192,307.0,171
45.03906,7.507091,307.0,146
45.042957,7.506989,117.0,0
45.06244,7.506482,356.0,167
45.066337,7.506381,356.0,170
45.070233,7.506279,684.0,224
45.07413,7.506178,768.0,240
45.078026,7.506076,539.0,275
45.081923,7.505974,229.0,304
45.085819,7.505873,207.0,219
44.947552,7.514219,150.0,57
44.951448,7.514118,259.0,69
44.955345,7.514018,558.0,83
44.959242,7.513917,558.0,130
44.998208,7.51291,288.0,375
45.002105,7.512809,343.0,325
45.006001,7.512708,300.0,203
45.009898,7.512607,237.0,276
45.013795,7.512506,221.0,214
45.025484,7.512204,268.0,415
45.029381,7.512103,309.0,374
45.033278,7.512002,308.0,338
45.037174,7.511901,308.0,304
45.041071,7.5118,271.0,211
45.060554,7.511294,217.0,214
45.06445,7.511193,356.0,236
45.068347,7.511092,438.0,255
45.072244,7.510991,768.0,251
45.07614,7.510889,768.0,308
45.080037,7.510788,257.0,300
45.083933,7.510687,229.0,247
44.945665,7.519021,131.0,45
44.949562,7.518921,129.0,47
44.953458,7.51882,410.0,51
44.957355,7.51872,465.0,63
44.961252,7.51862,263.0,72
44.984632,7.518018,107.0,78
44.996322,7.517716,118.0,344
45.000218,7.517616,323.0,426
45.004115,7.517515,322.0,334
45.008012,7.517415,387.0,300
45.011908,7.517314,396.0,335
45.015805,7.517214,210.0,214
45.019701,7.517113,101.0,374
45.023598,7.517012,179.0,539
45.027495,7.516912,407.0,555
45.031391,7.516811,411.0,473
45.035288,7.51671,343.0,431
45.039185,7.51661,343.0,353
45.043081,7.516509,140.0,237
45.062564,7.516005,915.0,337
45.066461,7.515904,929.0,335
45.070357,7.515803,954.0,360
45.074254,7.515703,957.0,341
45.078151,7.515602,749.0,383
45.082047,7.515501,424.0,285
45.085944,7.5154,435.0,247
45.08984,7.515299,497.0,254
45.093737,7.515198,508.0,254
45.097633,7.515097,432.0,270
45.10153,7.514996,421.0,252
45.105427,7.514895,296.0,202
45.109323,7.514794,149.0,98
44.978848,7.522923,133.0,155
44.982745,7.522823,231.0,144
44.986642,7.522723,227.0,136
44.998332,7.522422,223.0,380
45.002228,7.522322,283.0,444
45.006125,7.522222,423.0,345
45.010022,7.522122,653.0,357
45.013918,7.522021,621.0,336
45.017815,7.521921,181.0,367
45.021711,7.521821,181.0,529
45.025608,7.521721,468.0,632
45.029505,7.52162,531.0,603
45.033401,7.52152,462.0,453
45.037298,7.52142,380.0,388
45.041195,7.521319,343.0,291
45.060678,7.520817,720.0,326
45.064574,7.520716,1318.0,390
45.068471,7.520616,1275.0,495
45.072367,7.520515,1070.0,441
45.076264,7.520415,1070.0,362
45.080161,7.520314,564.0,292
45.084057,7.520214,526.0,278
45.087954,7.520113,647.0,330
45.09185,7.520012,723.0,370
45.095747,7.519912,685.0,404
45.099644,7.519811,564.0,429
45.10354,7.51971,564.0,303
45.107437,7.51961,190.0,185
44.930201,7.528923,120.0,32
44.980858,7.527628,212.0,162
44.984755,7.527528,231.0,162
44.988651,7.527428,128.0,157
45.000341,7.527129,283.0,404
45.004238,7.527029,283.0,457
45.008135,7.526929,623.0,470
45.012031,7.526829,653.0,431
45.015928,7.526729,369.0,391
45.019825,7.526629,181.0,423
45.023721,7.526529,260.0,550
45.027618,7.526429,531.0,609
45.031515,7.526329,531.0,581
45.035411,7.526229,385.0,438
45.039308,7.526129,380.0,264
45.043204,7.526029,166.0,197
45.062688,7.525528,1308.0,294
45.066584,7.525428,1304.0,412
45.070481,7.525328,1126.0,547
45.074377,7.525228,1061.0,415
45.078274,7.525127,861.0,273
45.082171,7.525027,505.0,212
45.086067,7.524927,512.0,287
45.089964,7.524827,707.0,416
45.09386,7.524726,704.0,438
45.097757,7.524626,594.0,449
45.101654,7.524525,563.0,440
45.10555,7.524425,396.0,305
45.113343,7.524224,162.0,49
44.928314,7.533723,275.0,26
44.932211,7.533624,281.0,32
44.936107,7.533525,182.0,32
44.940004,7.533425,177.0,27
44.998454,7.531935,553.0,377
45.002351,7.531835,766.0,456
45.006248,7.531736,760.0,631
45.010144,7.531636,740.0,623
45.014041,7.531537,708.0,492
45.025731,7.531238,113.0,527
45.029628,7.531138,120.0,688
45.060801,7.53034,304.0,243
45.064697,7.53024,510.0,332
45.068594,7.53014,542.0,476
45.07249,7.53004,731.0,489
45.076387,7.52994,728.0,344
45.088077,7.52964,268.0,274
45.091973,7.52954,442.0,309
45.09587,7.52944,467.0,355
45.099767,7.52934,558.0,493
45.103663,7.52924,558.0,427
45.10756,7.52914,189.0,291
45.111456,7.52904,172.0,65
45.115353,7.52894,159.0,103
45.11925,7.52884,153.0,84
45.123146,7.52874,112.0,46
45.134836,7.528439,212.0,29
45.138732,7.528339,212.0,37
45.142629,7.528239,106.0,45
44.926426,7.538523,373.0,15
44.930323,7.538424,517.0,23
44.93422,7.538325,464.0,33
44.938117,7.538226,359.0,39
44.942013,7.538127,345.0,23
44.996567,7.536741,153.0,309
45.000464,7.536641,991.0,415
45.00436,7.536542,991.0,540
45.008257,7.536443,797.0,559
45.012154,7.536344,775.0,581
45.01605,7.536244,334.0,409
45.06281,7.535051,431.0,269
45.066707,7.534952,433.0,426
45.070603,7.534852,629.0,682
45.0745,7.534753,707.0,467
45.078397,7.534653,476.0,272
45.090086,7.534354,435.0,202
45.093983,7.534255,435.0,260
45.09788,7.534155,531.0,407
45.101776,7.534055,558.0,543
45.105673,7.533955,402.0,463
45.109569,7.533856,172.0,285
45.113466,7.533756,170.0,134
45.117363,7.533656,153.0,133
45.121259,7.533556,153.0,59
45.132949,7.533257,104.0,12
45.136846,7.533157,212.0,40
45.140742,7.533057,192.0,55
44.928435,7.543224,517.0,7
44.932332,7.543125,517.0,23
44.936229,7.543027,376.0,28
44.944022,7.54283,161.0,15
44.998576,7.541447,684.0,313
45.002473,7.541348,969.0,415
45.00637,7.54125,900.0,623
45.010266,7.541151,772.0,681
45.014163,7.541052,751.0,469
45.060923,7.539863,232.0,399
45.064819,7.539764,410.0,365
45.068716,7.539664,467.0,595
45.072613,7.539565,935.0,653
45.076509,7.539466,947.0,404
45.080406,7.539366,125.0,212
45.088199,7.539168,173.0,127
45.092096,7.539068,291.0,110
45.099889,7.53887,620.0,454
45.103786,7.53877,623.0,576
45.107682,7.538671,402.0,411
45.111579,7.538571,394.0,247
45.115475,7.538472,224.0,130
45.119372,7.538372,117.0,62
45.134958,7.537974,158.0,32
45.138855,7.537875,159.0,53
44.934341,7.547827,189.0,15
45.000585,7.546154,582.0,367
45.004482,7.546056,580.0,513
45.008379,7.545957,720.0,727
45.012275,7.545859,741.0,523
45.016172,7.54576,348.0,358
45.062932,7.544575,338.0,287
45.066829,7.544476,346.0,502
45.070725,7.544377,1124.0,823
45.074622,7.544278,1481.0,587
45.078518,7.544179,1051.0,373
45.098002,7.543684,548.0,483
45.101898,7.543585,713.0,668
45.105795,7.543486,696.0,549
45.109691,7.543387,668.0,405
45.113588,7.543287,631.0,220
45.136968,7.542692,117.0,37
45.140864,7.542593,108.0,57
44.998697,7.55096,390.0,244
45.002594,7.550862,567.0,378
45.006491,7.550763,617.0,623
45.010387,7.550665,741.0,745
45.014284,7.550567,734.0,504
45.061044,7.549386,167.0,190
45.064941,7.549287,346.0,432
45.068837,7.549189,464.0,717
45.072734,7.54909,1481.0,840
45.076631,7.548991,1481.0,531
45.080527,7.548893,248.0,178
45.096114,7.548498,153.0,768
45.100011,7.548399,713.0,644
45.103907,7.5483,713.0,693
