lat,lon,kind
48.9713433,2.319877,school
48.9718724,2.3215057,supermarket
48.8978029,2.2507171,school
48.9733162,2.3285514,school
48.8933058,2.4621705,school
48.8893082,2.4556639,school
48.863007,2.4716165,school
48.8624568,2.4760909,school
48.8697016,2.3714823,pharmacy
48.8663678,2.3735097,pharmacy
48.865162,2.3741879,pharmacy
48.8658968,2.3774054,pharmacy
48.8689224,2.3747761,supermarket
48.8764439,2.3684913,supermarket
48.8736618,2.3646917,pharmacy
48.8705122,2.3709103,supermarket
48.8701624,2.3706958,pharmacy
48.8720336,2.3765707,doctors
48.8706026,2.3727062,pharmacy
48.8701691,2.3721452,supermarket
48.8452423,2.4347346,supermarket
48.8663019,2.3713203,pharmacy
48.8666671,2.3837961,pharmacy
48.86625,2.3794293,supermarket
48.8687118,2.3798647,pharmacy
48.8680375,2.3866814,pharmacy
48.8485694,2.3787232,supermarket
48.8463393,2.3794911,pharmacy
48.8468182,2.3839633,pharmacy
48.8483622,2.3941331,pharmacy
48.8460766,2.3773448,school
48.8505616,2.3818961,pharmacy
48.8499708,2.3841427,pharmacy
48.8471042,2.3871676,pharmacy
48.8646253,2.3555277,supermarket
48.8995122,2.2618668,pharmacy
48.8524674,2.4730303,school
48.8506062,2.4612639,school
48.7966824,2.4455893,school
48.7968061,2.4452539,school
48.8184205,2.424632,school
48.8975245,2.2403557,pharmacy
48.8329627,2.3315938,pharmacy
48.870016,2.3963974,pharmacy
48.8860129,2.3833794,supermarket
48.7661141,2.4072434,marketplace
48.7455821,2.2953586,pharmacy
48.7798843,2.3141078,supermarket
48.8707066,2.3614499,pharmacy
48.8239855,2.3047241,school
48.8240759,2.3051361,school
48.8212635,2.3034673,pharmacy
48.9027596,2.2683176,supermarket
48.8009557,2.2621992,school
48.8016023,2.264285,pharmacy
49.062792,2.0921271,pharmacy
49.057663,2.0890727,pharmacy
49.06279,2.0926795,supermarket
48.8273972,2.1182028,supermarket
48.8119704,2.3849919,supermarket
48.8847815,2.4762073,supermarket
48.5581453,2.4326906,school
48.5577831,2.4326736,school
48.8505446,2.4430771,pharmacy
48.9485137,2.0368188,pharmacy
48.811909,2.2814928,school
48.8114324,2.2824961,school
48.8234378,2.2953336,school
48.822884,2.2943552,school
48.8740289,2.3897101,supermarket
48.8151374,2.2863067,pharmacy
48.8170386,2.3185417,pharmacy
48.7621255,1.9177143,pharmacy
48.8685757,2.4338571,school
48.816795,2.3216547,supermarket
48.8109713,2.3145574,supermarket
48.8389201,2.2828876,pharmacy
48.8363475,2.2815351,supermarket
48.8364681,2.2819452,pharmacy
48.8224546,2.4125725,pharmacy
48.8211089,2.4137767,supermarket
48.8663456,2.4118041,school
48.8668186,2.4119143,school
48.8675233,2.4119277,school
48.8683117,2.4115585,school
48.8647822,2.4045312,pharmacy
48.864397,2.409669,pharmacy
48.7863537,2.2917115,hospital
48.8627754,2.4202931,school
48.8583135,2.4168254,school
48.8221546,2.252384,pharmacy
48.8489207,2.5567122,pharmacy
48.8463605,2.55266,pharmacy
48.8475446,2.5532545,pharmacy
49.0061442,2.0899718,school
48.8410092,2.1813105,pharmacy
48.824728,2.2729468,pharmacy
48.9469002,2.6615063,pharmacy
48.9473578,2.6636376,supermarket
48.9382748,2.67687,school
48.8269726,2.2775317,supermarket
48.8856296,2.3199522,pharmacy
48.8820794,2.3158563,supermarket
48.8072273,2.4718433,supermarket
48.903055,2.3336364,school
48.9121575,2.3606393,school
48.8021067,2.3314429,pharmacy
48.9747626,2.0502443,pharmacy
48.8997185,2.5174559,supermarket
48.8365312,2.3932203,pharmacy
48.8410504,2.394404,supermarket
48.8361512,2.3875057,pharmacy
48.8377287,2.4014374,supermarket
49.0142224,1.949317,school
48.8435459,2.2377436,pharmacy
48.8738056,2.1937742,school
48.8779979,2.2517483,pharmacy
48.8811759,2.2559599,pharmacy
48.8357478,2.4730519,pharmacy
48.8366731,2.4755239,pharmacy
48.880387,2.2770882,pharmacy
48.8833363,2.2661219,pharmacy
48.8046559,2.4852004,pharmacy
49.0088878,2.240588,pharmacy
48.7944671,2.3358135,pharmacy
48.8760599,2.1697186,supermarket
48.8374325,2.3912706,pharmacy
48.8757775,2.7478244,school
48.8718372,2.7519719,school
48.8751889,2.7451163,pharmacy
48.9319606,2.0518184,school
48.9340124,2.0519913,supermarket
48.9284429,2.042247,pharmacy
48.8850542,2.4325795,school
48.8792244,2.4304235,school
48.878897,2.430784,school
48.875682,2.4453458,school
48.875541,2.4441804,school
48.8843981,2.4271097,school
49.0111388,2.028904,pharmacy
49.011932,2.0436651,pharmacy
49.0104375,2.0296951,doctors
48.873201,2.722836,school
48.9016323,2.4914242,marketplace
48.8299505,2.3776687,supermarket
48.8235358,2.2768317,hospital
48.9288262,2.3871541,school
48.9367328,2.3741566,school
48.9439049,2.3803813,school
48.93429,2.37367,school
48.8372431,2.4025512,school
48.8373514,2.4035461,school
48.8259414,2.3467822,supermarket
48.8284354,2.3440973,supermarket
48.8837555,2.2711104,pharmacy
48.8831102,2.2739145,pharmacy
48.8822111,2.2772346,pharmacy
48.8917668,2.2891128,pharmacy
48.8900399,2.288116,pharmacy
48.8875644,2.2855303,pharmacy
48.8887214,2.2873413,pharmacy
48.8916898,2.2866375,pharmacy
48.8920002,2.2852899,pharmacy
48.8940611,2.276556,pharmacy
48.770159,2.316422,pharmacy
48.7698641,2.3162325,supermarket
48.8146533,2.4154358,pharmacy
48.8132282,2.4164432,school
48.8708308,2.4178082,school
48.8504321,2.3997456,school
48.8150056,2.419777,supermarket
48.8395966,2.4017107,supermarket
48.8690504,2.2247396,supermarket
48.941011,2.5775472,pharmacy
48.94142,2.5835664,school
48.9427328,2.5705781,pharmacy
48.7146969,2.0798863,school
48.8313155,2.3153662,supermarket
48.8315542,2.3147243,pharmacy
48.8321147,2.3204611,pharmacy
48.8224085,2.2457682,school
48.8246699,2.2612973,school
48.6255934,2.6018395,school
48.8646989,2.3689158,supermarket
48.8615019,2.3742714,pharmacy
48.8591105,2.376008,pharmacy
48.8920786,2.2934453,pharmacy
48.8615812,2.3729669,pharmacy
48.8386288,2.3898798,supermarket
48.8648604,2.3686851,pharmacy
48.886576,2.1559335,supermarket
48.9017763,2.155939,pharmacy
48.4690073,2.7070355,pharmacy
48.6317918,2.4273035,pharmacy
48.7121753,2.4019344,pharmacy
48.8296212,2.3650676,pharmacy
48.8481405,2.4285935,school
48.846186,2.3882212,supermarket
48.9656367,1.9340557,school
48.8569774,2.2216221,school
48.4683848,2.7044032,doctors
48.4840152,2.6967642,supermarket
48.8896469,2.379352,school
48.6982357,2.5039869,pharmacy
48.6908301,2.4943518,pharmacy
48.7086679,2.5223882,pharmacy
48.8544201,2.3926702,school
48.8369268,2.4021325,doctors
48.844461,2.4054819,pharmacy
48.8367412,2.4039504,pharmacy
48.8898012,2.1974995,pharmacy
48.8897692,2.1948278,pharmacy
48.8919044,2.1955522,pharmacy
48.8901346,2.1954893,pharmacy
48.9807993,1.9741361,supermarket
49.0584891,2.0598732,doctors
48.8459819,2.3731803,pharmacy
48.8465693,2.3723121,pharmacy
48.8447988,2.3825028,pharmacy
48.8234104,2.3660411,supermarket
48.859647,2.1480631,pharmacy
48.8460166,2.3767039,pharmacy
48.8952933,2.0821591,pharmacy
48.8274146,2.3319952,pharmacy
48.8275857,2.2003872,pharmacy
49.0479903,2.0956939,pharmacy
49.050389,2.1003163,pharmacy
48.98142,2.3790554,college
48.9753437,2.3927582,school
48.9756651,2.3927826,school
48.9759513,2.3936009,marketplace
48.9749068,2.3997281,school
48.9842939,2.2829864,school
49.0495666,2.1027825,pharmacy
48.8744523,2.3285538,supermarket
49.0541976,2.092888,pharmacy
49.058415,2.0942773,pharmacy
48.989126,2.2592519,pharmacy
49.0503548,2.0823267,school
48.7918512,2.2856377,supermarket
48.7919413,2.2860497,pharmacy
48.7266618,2.2566885,supermarket
48.8370665,2.481461,supermarket
48.8381326,2.4914716,supermarket
48.83949,2.4821562,school
48.8396877,2.4826197,school
48.7374206,2.3273402,pharmacy
48.8471162,2.4365305,pharmacy
48.8478431,2.4371598,pharmacy
48.847732,2.4420494,pharmacy
48.8480822,2.4459831,pharmacy
49.0775769,1.9266415,pharmacy
48.9413163,2.4974092,marketplace
48.8889696,2.2199092,pharmacy
48.8956568,2.2089915,school
