lat,lon,population,reachable_pois
48.968269,1.877747,173.0,44
49.085103,1.875116,111.0,95
48.697645,1.888872,111.0,128
48.713224,1.888529,452.0,551
48.717118,1.888444,460.0,891
48.721013,1.888358,248.0,1360
48.724908,1.888272,205.0,1042
48.728802,1.888186,109.0,637
48.779433,1.887068,107.0,286
48.806695,1.886465,140.0,592
48.81059,1.886379,192.0,2079
48.814484,1.886292,217.0,2834
48.818379,1.886206,186.0,2492
48.822274,1.88612,100.0,3
48.826168,1.886033,100.0,3
48.845641,1.885602,145.0,132
48.849536,1.885515,330.0,153
48.966372,1.882913,165.0,47
48.970266,1.882826,155.0,114
49.001422,1.88213,237.0,435
49.005317,1.882042,248.0,590
48.695747,1.89401,106.0,117
48.699641,1.893925,106.0,172
48.711325,1.893669,247.0,236
48.71522,1.893583,460.0,658
48.719115,1.893498,417.0,1011
48.72301,1.893413,205.0,1103
48.726904,1.893327,205.0,764
48.777535,1.892215,166.0,303
48.781429,1.892129,166.0,364
48.804797,1.891614,149.0,932
48.808692,1.891528,151.0,713
48.812586,1.891442,217.0,546
48.816481,1.891357,217.0,395
48.820376,1.891271,128.0,264
48.82427,1.891185,100.0,23
48.847638,1.890669,252.0,132
48.851532,1.890583,299.0,173
48.999525,1.887299,122.0,801
49.003419,1.887212,248.0,1174
49.007314,1.887126,239.0,1209
48.697743,1.899063,104.0,126
48.713322,1.898723,325.0,259
48.717216,1.898638,305.0,621
48.721111,1.898553,225.0,750
48.725006,1.898468,203.0,681
48.7289,1.898383,149.0,184
48.775636,1.89736,139.0,224
48.779531,1.897275,166.0,296
48.783426,1.89719,105.0,322
48.802899,1.896763,156.0,982
48.806793,1.896677,206.0,890
48.810688,1.896592,247.0,728
48.814583,1.896507,288.0,645
48.818477,1.896421,283.0,459
48.822372,1.896336,109.0,272
48.826267,1.89625,110.0,23
48.830161,1.896164,106.0,32
48.834056,1.896079,113.0,48
48.849634,1.895736,271.0,291
48.853529,1.895651,271.0,300
49.001521,1.892382,225.0,2065
49.005416,1.892296,248.0,2657
49.00931,1.892209,156.0,2212
48.715318,1.903778,142.0,165
48.719212,1.903693,144.0,175
48.723107,1.903608,202.0,223
48.727002,1.903524,202.0,189
48.777632,1.902421,105.0,173
48.797106,1.901996,150.0,528
48.801,1.901911,182.0,878
48.804895,1.901826,343.0,1026
48.80879,1.901741,343.0,898
48.812684,1.901656,355.0,731
48.816579,1.901571,357.0,691
48.820473,1.901486,219.0,397
48.824368,1.901401,113.0,38
48.828263,1.901316,113.0,25
48.832157,1.901231,115.0,56
48.836052,1.901145,115.0,54
48.847736,1.90089,169.0,202
48.85163,1.900804,271.0,351
48.855525,1.900719,203.0,409
48.972362,1.898152,106.0,437
48.976256,1.898067,293.0,331
48.980151,1.897981,343.0,479
48.984045,1.897895,380.0,1176
48.98794,1.897809,410.0,1130
48.991834,1.897723,336.0,1701
48.995729,1.897637,255.0,1504
48.999623,1.897551,254.0,2503
49.003518,1.897465,247.0,4345
49.007412,1.897379,247.0,4579
49.011307,1.897293,103.0,2742
48.713419,1.908917,116.0,88
48.717313,1.908832,142.0,38
48.721208,1.908748,168.0,122
48.725103,1.908664,198.0,127
48.728997,1.90858,171.0,34
48.767944,1.907736,101.0,352
48.771839,1.907651,110.0,252
48.795207,1.907144,146.0,553
48.799101,1.907059,155.0,804
48.802996,1.906975,273.0,671
