lat,lon,population,reachable_pois
45.434112,9.052106,118.0,480
45.476986,9.052146,153.0,168
45.480883,9.052149,199.0,141
45.484781,9.052153,472.0,124
45.488679,9.052157,473.0,102
45.492576,9.05216,517.0,79
45.496474,9.052164,521.0,70
45.500371,9.052167,241.0,64
45.515962,9.052182,145.0,2
45.519859,9.052185,558.0,159
45.523757,9.052189,575.0,339
45.527655,9.052193,951.0,289
45.531552,9.052196,1149.0,180
45.53545,9.0522,881.0,104
45.539347,9.052203,214.0,66
45.543245,9.052207,215.0,86
45.547143,9.052211,394.0,105
45.55104,9.052214,392.0,146
45.554938,9.052218,126.0,129
45.574425,9.052236,128.0,49
45.41657,9.056883,216.0,507
45.420468,9.056887,596.0,777
45.424365,9.056891,661.0,733
45.428263,9.056895,467.0,572
45.432161,9.056899,305.0,549
45.436058,9.056903,249.0,332
45.463342,9.05693,108.0,0
45.467239,9.056934,339.0,245
45.471137,9.056938,346.0,278
45.475035,9.056942,464.0,253
45.478932,9.056946,471.0,234
45.48283,9.05695,551.0,133
45.486728,9.056954,579.0,104
45.490625,9.056957,408.0,70
45.517908,9.056985,195.0,105
45.525704,9.056993,103.0,473
45.529601,9.056997,490.0,376
45.533499,9.057001,486.0,284
45.541294,9.057009,296.0,101
45.545191,9.057013,262.0,112
45.549089,9.057016,225.0,189
45.552987,9.05702,214.0,158
45.556884,9.057024,148.0,75
45.560782,9.057028,149.0,66
45.572474,9.05704,330.0,50
45.576372,9.057044,526.0,50
45.588065,9.057056,423.0,5
45.591962,9.05706,828.0,7
45.414619,9.061674,138.0,414
45.418516,9.061678,402.0,580
45.422414,9.061682,992.0,923
45.426312,9.061686,979.0,739
45.430209,9.061691,407.0,578
45.434107,9.061695,407.0,423
45.449698,9.061712,124.0,572
45.453595,9.061716,116.0,495
45.465288,9.061729,361.0,281
45.469186,9.061733,436.0,464
45.473083,9.061737,484.0,473
45.476981,9.061742,540.0,264
45.480879,9.061746,547.0,128
45.484776,9.06175,598.0,761
45.488674,9.061754,598.0,937
45.515957,9.061784,290.0,633
45.52765,9.061797,308.0,693
45.531547,9.061801,465.0,595
45.535445,9.061806,424.0,384
45.539343,9.06181,297.0,141
45.54324,9.061814,297.0,251
45.547138,9.061818,224.0,202
45.551035,9.061823,223.0,166
45.554933,9.061827,171.0,151
45.55883,9.061831,149.0,81
45.562728,9.061836,125.0,63
45.574421,9.061848,526.0,52
45.578318,9.061853,526.0,51
45.582216,9.061857,447.0,7
45.586113,9.061861,423.0,4
45.590011,9.061865,590.0,8
45.593908,9.06187,850.0,10
45.416565,9.066469,146.0,633
45.420463,9.066473,874.0,950
45.42436,9.066478,983.0,1014
45.428258,9.066482,673.0,793
45.432155,9.066487,394.0,535
45.447746,9.066505,161.0,796
45.451644,9.06651,177.0,947
45.463337,9.066524,115.0,272
45.467234,9.066528,412.0,447
45.471132,9.066533,410.0,619
45.475029,9.066537,472.0,429
45.478927,9.066542,469.0,305
45.486722,9.066551,495.0,1228
45.49062,9.066556,351.0,1334
45.510108,9.066579,218.0,653
45.514006,9.066583,289.0,885
45.517903,9.066588,194.0,1088
45.529596,9.066602,516.0,879
45.533493,9.066606,518.0,789
45.537391,9.066611,377.0,352
45.541289,9.066615,346.0,388
45.545186,9.06662,441.0,222
45.549084,9.066625,568.0,186
45.552981,9.066629,556.0,165
45.556879,9.066634,374.0,104
45.560776,9.066638,381.0,73
45.564674,9.066643,475.0,58
45.568572,9.066648,500.0,52
45.572469,9.066652,649.0,52
45.576367,9.066657,773.0,52
45.580264,9.066661,745.0,49
45.584162,9.066666,584.0,6
45.588059,9.066671,588.0,5
45.591957,9.066675,967.0,8
45.595854,9.06668,999.0,11
45.414613,9.071259,657.0,496
