lat,lon
45.4613015,9.1544733
45.4885485,9.1653266
45.4912471,9.2444364
45.4944919,9.221509
45.4276655,9.1398143
45.4785976,9.1842604
45.4782108,9.1842627
45.464983,9.1554107
45.4600738,9.1564997
45.4626252,9.157709
45.4667632,9.1521402
45.4887909,9.1966345
45.4938118,9.1985901
45.5283647,9.2270264
45.4944891,9.1959957
45.4786582,9.1892715
45.4520568,9.1752912
45.4507894,9.1692677
45.5707713,9.1985386
45.4615335,9.1358966
45.4858994,9.168171
45.4708645,9.2430698
45.555942,9.1859318
45.570018,9.1903817
45.5172346,9.1917957
45.4559089,9.1366189
45.4481943,9.1384121
45.4451644,9.1445164
45.4448043,9.1428846
45.4899689,9.1889659
45.4541489,9.2159819
45.4558756,9.2056971
45.5521885,9.1897692
45.5513156,9.1859444
45.5505092,9.1776429
45.5495784,9.175552
45.5507179,9.1847705
45.5513567,9.1871027
45.5506644,9.1810299
45.552767,9.1863002
45.4675712,9.1555418
45.5501406,9.1949435
45.5477467,9.1859728
45.5453517,9.1758329
45.5453884,9.1761252
45.4872513,9.197977
45.4888473,9.1830352
45.5485794,9.1764409
45.5556461,9.2048501
45.5526638,9.2149208
45.5518935,9.2148935
45.4431787,9.1161113
45.5239109,9.1925821
45.4865484,9.1648819
45.4812546,9.1860677
45.4910015,9.1534731
45.454744,9.1543017
45.4587057,9.1541195
45.4512463,9.1511177
45.4779672,9.1841551
45.47838,9.184308
45.4504362,9.2028232
45.4506209,9.1700733
45.4489554,9.2110082
45.6675807,9.1815721
45.5170385,9.2258505
45.499762,9.223294
45.4405918,9.1552532
45.4395888,9.1541822
45.4403736,9.1786974
45.4400513,9.1787564
45.4990381,9.2948572
45.4996731,9.2933469
45.4437363,9.1800203
45.4415864,9.1790333
45.4407975,9.1801319
45.4406169,9.1801577
45.4511665,9.1897035
45.6018526,9.0845134
45.5887866,9.0780856
45.602336,9.0784542
45.5279975,9.1111162
45.5397142,9.1021391
45.4867737,9.159562
45.4861675,9.1600421
45.4850275,9.1609476
45.4859964,9.1596515
45.4853363,9.1617124
45.4846305,9.1628726
45.4855986,9.1627584
45.4848856,9.1649861
45.4846164,9.1658099
45.4828365,9.16569
45.4837794,9.1642847
45.4811153,9.1644158
45.4816749,9.1636918
45.4873939,9.1622311
45.4827064,9.1666905
45.5089583,9.1321686
45.4849763,9.1669741
45.4852204,9.1672155
45.4946248,9.1558934
45.5941242,9.0646527
45.5290876,9.3989271
45.534378,9.4087516
45.5087991,9.1324343
45.5153719,9.1724922
45.580234,8.9778437
45.5800717,8.9781968
45.5778072,8.9800334
45.5712984,9.1913913
45.5811362,9.1945659
45.4598362,9.1714761
45.4009605,9.122015
45.6623025,9.1560096
45.4508431,9.1918941
45.4723196,9.2267793
45.4704608,9.2289409
